City,Team Name
"Miami, FL",Heat
"Boston, MA",Celtics
"Los Angles, CA",Clippers
"New York, NY",Knicks
"San Francisco, CA",Warriors
"Atlanta, GA",Hawks
"Brooklyn, NY",Nets
"Charlotte, NC",Hornets
"Chicago, IL",Bulls
"Cleveland, OH",Cavaliers
"Dallas, TX",Mavericks
"Denver, CO",Nuggets
"Detroit, MI",Pistons
"Houston, TX",Rockets
"Indianapolis, IN",Pacers
"Memphis, TN",Grizzlies
"Oklahoma City, OK",Thunder
"Milwaukee, WI",Bucks
"Minneapolis, MN",Timberwolves
"New Orleans, LA",Pelicans
"Orlando, FL",Magic
"Philadelphia, PA",76ers
"Phoenix, AZ",Suns
"Portland, OR",Trailblazers
"Sacramento, CA",Kings
"San Antonio, TX",Spurs
"Toronto, Ontario",Raptors
"Salt Lake City, UT",Jazz
"Los Angles, CA",Lakers
"Washington, D.C",Wizards
